name,address,city,state,zip,lat,lng, type
Ace Pickleball Club,1199 Nixon Drive, Moorestown, NJ, 08057,39.9411137,-74.9656739, Business
Ace Pickleball Club,512 Milltown Rd, North Brunswick Township, NJ, 08902,40.4649291,-74.4559397, Business
Ace Pickleball Club,312 E Penn Dr, East Pennsboro Township, PA, 17025,40.2889773,-76.9491063,Business
Ace Pickleball Club,945 E Lancaster Ave, Downingtown, PA, 19335,40.0101007,-75.7035465 , Business
Ace Pickleball Club,30031 FM2978, Magnolia, TX, 77354,30.188748,-95.5983663, Business
Ace Pickleball Club,2205 N Calhoun Rd, Brookfield, WI, 53005,43.0589172,-88.1314515, Business
Atlantic Club,1904 Atlantic Ave,Manasquan,NJ,08736,40.1248,-74.0621, Business
Bergen Pickleball Zone, 50 Spring St, Ramsey, NJ, 07446, 41.0241572,-74.2665452, Business
Jersey Pickleball Club at Bell Works, 101 Crawfords Corner Rd, Holmdel, NJ, 07733,40.3659042,-74.7794724, Business
The Club at Monroe, 4 Farrington Blvd, Monroe Township, NJ, 08831,40.2667173,-74.4367205, Business
Pickle House,153 W Manor Way, Robbinsville Twp, NJ, 08691,40.1940711,-74.5937694, Business
Pickleball Hub,123 Main St,Springfield,IL,12345,39.7817,-89.6501, Business
PickleRage Union County,900 North Ave,Plainfield,NJ,07062,40.628099,-74.4112357, Business
Pickleball Kingdom Hamilton, 1100 Negron Dr, Hamilton Township, NJ, 08691, 40.2011885,-74.79592, Business
Pickleball Kingdom Watchung, 1511 US-22,Watchung,NJ, 07069, 40.6409565,-74.423955, Business
Pickleball HQ,111 NJ-35, Cliffwood, NJ, 07721, 40.4415746,-74.2356059, Business
Pickleball Palace, 9 Whippany Rd Building D, Whippany, NJ, 07981,40.8182264,-74.7554491,Business
North Arlington Pickleball Courts,437 River Rd, North Arlington, NJ, 07031,40.8005122,-74.1367954, Park
Brookdale Park,W Circuit Dr,Montclair,NJ,07043,40.8351,-74.1956, Park
Downtown Courts,456 Oak Ave,Springfield,IL,12345,39.7900,-89.6400, Park
Putnam Park,705 Oak Tree Rd,South Plainfield,NJ,07080,40.5739,-74.4098, Park
Overpeck County Park,40 Fort Lee Rd,Leonia,NJ,07605,40.8550,-74.0042, Park
Thompson Park,805 Newman Springs Rd,Lincroft,NJ,07738,40.3342,-74.1245, Park
Mercer County Park,1638 Old Trenton Rd,West Windsor,NJ,08550,40.2608,-74.6617, Park
Central Park of Morris Co,91 Central Ave,Parsippany,NJ,07950,40.8350,-74.4754, Park
Randolph Park,198 Calais Rd,Randolph,NJ,07869,40.8324,-74.5776, Park
Veterans Park,2206 Kuser Rd,Hamilton,NJ,08690,40.2036,-74.6732, Park

